application,always_reconfigure,runtime_ns
sha256-fpga,1,144767423
sha256-fpga,1,145497762
sha256-fpga,1,146827787
sha256-fpga,1,144733978
sha256-fpga,1,146185456
sha256-fpga,1,141762690
sha256-fpga,1,95213279
sha256-fpga,1,108287209
sha256-fpga,1,113848608
sha256-fpga,1,138558860
sha256-fpga,1,147652248
sha256-fpga,1,124212401
sha256-fpga,1,146869186
sha256-fpga,1,136819377
sha256-fpga,1,106905509
sha256-fpga,1,117391103
sha256-fpga,1,137625062
sha256-fpga,1,135305821
sha256-fpga,1,138041289
sha256-fpga,1,133638156
sha256-fpga,1,125619897
sha256-fpga,1,131601224
sha256-fpga,1,112644166
sha256-fpga,1,97985483
sha256-fpga,1,98001772
sha256-fpga,1,97993799
sha256-fpga,1,99088630
sha256-fpga,1,98156828
sha256-fpga,1,97494117
sha256-fpga,1,98188476
sha256-fpga,1,97592279
sha256-fpga,1,98354540
sha256-fpga,1,98000199
sha256-fpga,1,96395013
sha256-fpga,1,95819555
sha256-fpga,1,96151365
sha256-fpga,1,93936028
sha256-fpga,1,97718464
sha256-fpga,1,97731313
sha256-fpga,1,95402990
sha256-fpga,1,96434308
sha256-fpga,1,96587988
sha256-fpga,1,94024141
sha256-fpga,1,95931561
sha256-fpga,1,97244230
sha256-fpga,1,96523824
sha256-fpga,1,95883931
sha256-fpga,1,95785929
sha256-fpga,1,126264355
sha256-fpga,1,119595099
sha256-fpga,1,127721202
sha256-fpga,1,126578062
sha256-fpga,1,93924701
sha256-fpga,1,121525791
sha256-fpga,1,127220616
sha256-fpga,1,127060258
sha256-fpga,1,126797874
sha256-fpga,1,120697991
sha256-fpga,1,126183938
sha256-fpga,1,123243100
sha256-fpga,1,125623466
sha256-fpga,1,123618190
sha256-fpga,1,126338715
sha256-fpga,1,126438360
sha256-fpga,1,126187103
sha256-fpga,1,99655184
sha256-fpga,1,126714647
sha256-fpga,1,121719004
sha256-fpga,1,119672680
sha256-fpga,1,124796794
sha256-fpga,1,126396917
sha256-fpga,1,148869057
sha256-fpga,1,128774687
sha256-fpga,1,124359609
sha256-fpga,1,124604905
sha256-fpga,1,124224627
sha256-fpga,1,124439023
sha256-fpga,1,123690235
sha256-fpga,1,124567138
sha256-fpga,1,116348287
sha256-fpga,1,125004907
sha256-fpga,1,112852296
sha256-fpga,1,133474665
sha256-fpga,1,138075418
sha256-fpga,1,138125796
sha256-fpga,1,139261460
sha256-fpga,1,144252807
sha256-fpga,1,138343547
sha256-fpga,1,143040944
sha256-fpga,1,137521665
sha256-fpga,1,137055648
sha256-fpga,1,137249378
sha256-fpga,1,126360095
sha256-fpga,1,123200793
sha256-fpga,1,129168477
sha256-fpga,1,118538853
sha256-fpga,1,125449422
sha256-fpga,1,123096913
sha256-fpga,1,126842136
sha256-fpga,1,120664057
sha256-fpga,0,78276679
sha256-fpga,0,78815941
sha256-fpga,0,91757613
sha256-fpga,0,81358427
sha256-fpga,0,78560018
sha256-fpga,0,78934755
sha256-fpga,0,80458360
sha256-fpga,0,78652292
sha256-fpga,0,79424536
sha256-fpga,0,81343329
sha256-fpga,0,81146233
sha256-fpga,0,81128766
sha256-fpga,0,81000291
sha256-fpga,0,80885919
sha256-fpga,0,80889260
sha256-fpga,0,80991953
sha256-fpga,0,81318647
sha256-fpga,0,80944783
sha256-fpga,0,83863671
sha256-fpga,0,77922090
sha256-fpga,0,78120100
sha256-fpga,0,78171075
sha256-fpga,0,78782555
sha256-fpga,0,90375402
sha256-fpga,0,78307701
sha256-fpga,0,90640146
sha256-fpga,0,78136093
sha256-fpga,0,78439350
sha256-fpga,0,77969260
sha256-fpga,0,78027221
sha256-fpga,0,78286408
sha256-fpga,0,78202453
sha256-fpga,0,78004733
sha256-fpga,0,78433300
sha256-fpga,0,78420446
sha256-fpga,0,78419544
sha256-fpga,0,78011964
sha256-fpga,0,78061915
sha256-fpga,0,78279198
sha256-fpga,0,78108483
sha256-fpga,0,78330365
sha256-fpga,0,78146854
sha256-fpga,0,77964583
sha256-fpga,0,77976117
sha256-fpga,0,81258757
sha256-fpga,0,78272015
sha256-fpga,0,109385156
sha256-fpga,0,82205759
sha256-fpga,0,95015838
sha256-fpga,0,85516577
sha256-fpga,0,81793812
sha256-fpga,0,85806146
sha256-fpga,0,85231516
sha256-fpga,0,83598858
sha256-fpga,0,85467127
sha256-fpga,0,87376611
sha256-fpga,0,84715255
sha256-fpga,0,90011206
sha256-fpga,0,81813860
sha256-fpga,0,81605720
sha256-fpga,0,81718930
sha256-fpga,0,81679267
sha256-fpga,0,81650536
sha256-fpga,0,92805707
sha256-fpga,0,91086869
sha256-fpga,0,92251385
sha256-fpga,0,78905791
sha256-fpga,0,79054508
sha256-fpga,0,78960177
sha256-fpga,0,79146727
sha256-fpga,0,93321151
sha256-fpga,0,79138335
sha256-fpga,0,93141240
sha256-fpga,0,93187954
sha256-fpga,0,93194510
sha256-fpga,0,93149633
sha256-fpga,0,93387434
sha256-fpga,0,93027241
sha256-fpga,0,92279178
sha256-fpga,0,91373921
sha256-fpga,0,91682201
sha256-fpga,0,99214673
sha256-fpga,0,91297244
sha256-fpga,0,92953307
sha256-fpga,0,93349460
sha256-fpga,0,93077724
sha256-fpga,0,92852844
sha256-fpga,0,93111041
sha256-fpga,0,122367341
sha256-fpga,0,93191186
sha256-fpga,0,93464878
sha256-fpga,0,93272821
sha256-fpga,0,91632677
sha256-fpga,0,93185455
sha256-fpga,0,93322674
sha256-fpga,0,79934961
sha256-fpga,0,79696954
sha256-fpga,0,79337478
sha256-fpga,0,79349360
sha256-fpga,0,79365607
